,Titulo del producto,URL,Precio
10,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapato Escolar De Varon Venus Tomas Mocasín 100% Cuero</h2>",https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=nZaRCZFvNZv55qZ%2F5EXxz9vHWVFJ9EcgacolJFHbYyEh3S48j434zCvAsWQW49XvmQZpYJLuCVohTqpLwJBKgNSShbQj4XwqgSQAEqYwYe4%2BqPdCNE2krOAjLpiJjv31kZaw1UY%2BEtiKjPrszTBfwKaKvpidb5nfPmIEsxXN6f%2BLv90sggJDRWwoGEwBRG%2FrfNDNoHsSskdyQ1O8FTQoghA0Kx3mrKu4tC4mKtf7B0pSuMAcBSA63HCYR0FowdYy1aBLxOH2y0MoD7Mv5GH%2Bj0FW0QLbo0hfFQ81XimbHq%2FI35Ml%2BMD2D2t67vY12Yd392%2FLfUIrkzL4QXt%2FOVvbcKidEjR%2B8hvTQzrnYk%2FMldK2BIs0SmEsnNFeRRunM9z76vhQsdBN2FDHa6lyMZThkKkdGI8uWlV1LwHktE8tsi8PeRCkDHETD1adzlzqfjDKNWISj6uPPYYlo93inTQb%2BYcrJfRiJi62I5VdIxnYHaAzmDY4nPSyJifSVUaxRUBcC%2FdtGPDdVPIOXFKqFgB0catwL6UaZfYKWecm0gdFwzHS0WP7mQM0ZDCHPqpXQlFWiOtfnRi1rWaORTXTt1Y0vEC7c9G8EoWbIVfpLkNv4dDx%2FbfSx5J0JNtyzkbsRDbgBKQozCqFfY1dwNTEo1ivWOuks08cn6mj5IpUxOgYQ%2FybxBkecElaqTh6s%2FS3qzoXH23KlYFjELEKqDRj5rE89xVAoL%2BDZNYmCgQOm4nV6zTX23bbuCCb4R33gv2lddX3tRFaVZi8Cq1yiNjHaL%2B41azHtnpDf8monfXobgVKRW5xB%2FFm8FXcajOL5U2PzR3AL3MQPy9fM%2F%2FYie6%2BIwmu5kgE9addPK0jZk3%2BErNEczWvfHHjauIN66cKhSCB8i%2BNqT5dqwqJoEEtf56giBQeyCr0YBEr8WqBR5fuUjOtGf%2F224bKEwNY5lyrPvoXCZ9oLB47aYeJl3D88kfiHD%2F7H0vnV9Xp2dQCYMTiQptWBGswxNCwblmJ9ORa7LjTGe%2Bd5FNnzvRJGtgSqjGB13o6JcmEvlrSPokfqvpIltkiF04nF6QH5Js11c%2BkCAHvvEskAt3X011rQdTgWURk4J2o%2BulDzrqcRlKeCQNMcMbz1BRav4UJ3tHWPpPf17jXYX%2F7qssZnd1yIzHyJa%2F%2BXW%2BvHWtYioTbR%2BSO%2BMCuNl4AqRT%2Bi1Vt0qJ2Q6vEYkWTVfQm1iTNloF%2Fn6I4O0XVNOpQ%2BCkc1s4TsOs8ivxUw7MGNnuRsWwhUlXwfgPHALajgzfDG%2BTQ5z%2BifEEqDVp0ekNIIl%2BXNbym2xpN1wEMJVjspuHmdir44Yluj9YkF9LQFXM3y2dp1q7X8T0B4RrBZtm%2F1XC7t0R2BFTNqc91DtV2N2ao04sPbVBkogETaufh2osn5zCyTKdyOTTxdmJ2PhuK%2B9faEYAK%2BK09vzx3bGJCx2e5jVgNo3Ytv31uKaoeJGZlXiw8f6bY9F7jFM%2BWgNFQHZ6Mt5Tc76xoLmw5wShIpmLzcflNYVivRxzhXeWEQPEsR%2FNkEtaAa0JPyhmFT7iSSSBjOKCBLLjz9iHXaB3c5JsrqiU%2FYfjnph4%2F7cmiHkfeNuKz5DuhOE8nZelrFlceNxHJ0HrzyX46X0QSKmPVM5bA6H%2Bc3qfyLKrlxwF1Z77vcIvvdGYdthZtJjEv8UJL0wOP7QRws%2BDAbYpKPvpWlRnOe10XSUUOff1d0WUhoGE%2B7WOKdsPi0nJTz019WK%2BUt3rZhqRoEpZ5leGq&rb=x,61 soles con 10 céntimos
11,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapato Escolar De Varon Modelo Munich Venus 100% Cuero</h2>",https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=OXAM5LS4w%2FueRO0MjPreunLi%2BhtnUvQxJEy7lDjiY17WQ2knzONEH36FNNWzoZ9uPFYuceojxTDrQAxshxOYvlaZQxEmkIBymX%2FPi9FuR4ycRSUPhthHp8cBXpAd4zIA%2B2QeXiMFXsovDP0RE00H4DG80k4AlScTt4zmxoZESHt%2FwdsuiCYoXumdpcL0oDhTXgERnl3FVYpkDLJSH9qYmN8veFlb33crYHMK%2BaAn85Hk8cZKlc%2FlRThhxZYA8GfVrl94Koo4WbFeNORiDZPGL%2BIJI5hvo0flBQ8IGbBDIoa92wHuIooCCrJPvwX%2Ftk54iHXHuf99G0xjjG67xwRbFYTikOMAZQfuulzHHnZwO3XvfPMgEhi%2BAPGVur%2Fnb1T6kevwTDP68SVmOQTD7vPcvpyzUUWJ%2B2OUl%2FcqT4XoknPzVvSSKdqTZHBFQcWtgLYDbr3XNgiz6Om%2F8%2F1vI4xbfIUQ1pgpoV9IZ75zF2QDzg7oAIOBwdnWqC%2FLChtBAUdug3QDjlwEY3D98%2FiPMtJA149CS7WYg30ZZuOQLs12O85HmDGM8Xvb41S%2Bawx7GHdzE2v5gX4D3MRWnqsAJDID0aLdzBVhAMT5OvFbnLQ5%2B27io5MLDwq3N0Qr9W5WIOTgIg3ZnayGGCHsD5zi76rYgcz3%2BTFADwx75sTkrVFgABggwy4BHIMvLtKb2iG4GtQfnTMcuVXdOpKju9r95oQv7KZleX4kddektF3rMogIt9xvfsdpRGRTUds4omv4LlG1rhU7tiuRAybO%2F%2BDBG8ZI0LtU8UtCAPR2Pa6i7r%2Fr5kcvsUZkq8WuMe%2BgKstys3h%2F4ylw3bKMebSTKG2vCTA7p%2F3uOrbyB0Izk87ftM8bkOrOAcJrDKAjetxJFC9F8vbgl%2F4924OdUKpfJS2neFpOlaDVCJCFyRhGnc55QVJIXXjCfbZ9mw%2B3WJt3CNhacx2icHWTUsD%2FXgosaAO43Fu3IJApCid98cd8VypoJ%2B1h6IrNQTHVmYj5SmUjtbHKuXrzx76MDBNPkidqD97Isju8aSJCaS5BVoxM0YtLr1w%2F6Gkg4mnP8pa8VRRLoBUZ6ZHVmh97D6Iaxk2CDhjl17mKQrpaYaad7X69k6h3wumUFTN4FHJ0xhoVZhCWxfACWyY9iS93t%2BCwbAb6acS9aZFflfCFTnRcdQxgK7jjRzNWrJCJQdTVICi65UMFRiN2b1HdZmCj9alkMastxL2erS4JmdRLKnazvNX3ufIQNlnjLD2T1tiVOeLhVnoMyM8DLaKkW8IB9qmjCNumfwR4RGVqUJJE56Glbsv3OX6%2F7cvPLxow7IF5olVuFRZ%2FVRcTmIdgnDDm2YGu%2BY1TCCFEf8Y%2BMK9KXWJvsoIkM14uzmumiWIqIMfpidw%2FN9FGKuCNiZdL6iQpXlqHi5iIiKLg1E%2F2QhfT6RIc3PbWrm1bclMbechma0dsrmrsV7pAPwxErJYM6yhYjqA%2B32%2ByyfWV9lqOO4xLy3wZKX6R856j4Iw761XE7QKralhMGFnF1W191WQsDXWJOOh%2FFx8gu%2BPVDY6vaiIxwSQq1Xgo0CxHwLOEunTzc0i8QtfoMU8s%2BNj0CQ2FvhvyeUQRsd%2F4ztzJ1fyEKZ73%2ByBIhyh04ZZ7W0Pb%2FhVqxLcizkMyEZfI4GNui5W%2Br82d751mqnVA1LQDsb8Goqwxvb2IHtq2X7vQXE%2BM3ytZa1H%2BNYd7ye%2Fr&rb=x,76 soles con 40 céntimos
12,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Calzado Zapatos Jóvenes Puro Cuero Tallas 39/43 Bmshoes New</h2>",https://articulo.mercadolibre.com.pe/MPE-435547128-calzado-zapatos-jovenes-puro-cuero-tallas-3943-bmshoes-new-_JM?searchVariation=75847363136#searchVariation=75847363136&position=13&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,130 soles
13,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Mocasines De Hombre Moda Urbana</h2>",https://articulo.mercadolibre.com.pe/MPE-447016100-mocasines-de-hombre-moda-urbana-_JM?searchVariation=173665831450#searchVariation=173665831450&position=14&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,160 soles
14,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Casuales Venecia Negro - Fakers</h2>",https://articulo.mercadolibre.com.pe/MPE-441514052-zapatos-casuales-venecia-negro-fakers-_JM?searchVariation=65712174979#searchVariation=65712174979&position=15&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,149 soles
15,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Caterpillar De Hombre 100% Cuero Original</h2>",https://articulo.mercadolibre.com.pe/MPE-440697971-zapatos-caterpillar-de-hombre-100-cuero-original-_JM?searchVariation=63951292318#searchVariation=63951292318&position=16&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,150 soles
16,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Cat De Hombre Puro Cuero </h2>",https://articulo.mercadolibre.com.pe/MPE-440688828-zapatos-cat-de-hombre-puro-cuero-_JM?searchVariation=63783477610#searchVariation=63783477610&position=17&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,150 soles
17,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapato Para Hombre De Cuero,mocasin De Hombre</h2>",https://articulo.mercadolibre.com.pe/MPE-443281773-zapato-para-hombre-de-cueromocasin-de-hombre-_JM?searchVariation=75490678031#searchVariation=75490678031&position=18&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,139 soles
18,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapato Talla 38 Pierre Cardin Cuero Mocasin</h2>",https://articulo.mercadolibre.com.pe/MPE-444035658-zapato-talla-38-pierre-cardin-cuero-mocasin-_JM?searchVariation=78274768600#searchVariation=78274768600&position=19&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,166 soles
19,"<h2 class=""ui-search-item__title ui-search-item__group__element"">Zapatos Mocasines Para Hombre Marca Levis Importado De Usa</h2>",https://articulo.mercadolibre.com.pe/MPE-432968122-zapatos-mocasines-para-hombre-marca-levis-importado-de-usa-_JM#position=20&search_layout=grid&type=item&tracking_id=6dc6dfa1-f9b5-4ca3-aab8-cf5bd76425a6,199 soles con 24 céntimos
